match_id,overworld_seed,avg_elo,is_forfeited,winning_time_sec
12159459,SHIPWRECK,1155.5,True,
12159457,DESERT TEMPLE,511.5,True,
12159456,SHIPWRECK,829.0,True,
12159455,VILLAGE,480.0,True,
12159454,SHIPWRECK,680.5,True,
12159453,SHIPWRECK,606.0,True,
12159446,SHIPWRECK,935.0,False,809.859
12159444,RUINED PORTAL,1134.5,True,
12159441,RUINED PORTAL,994.0,True,
12159440,SHIPWRECK,741.0,True,
12159439,BURIED TREASURE,1715.5,False,556.393
12159436,BURIED TREASURE,2109.5,True,
12159435,DESERT TEMPLE,736.0,False,691.127
12159434,VILLAGE,597.0,False,1528.739
12159433,BURIED TREASURE,1384.5,False,866.755
12159432,SHIPWRECK,1663.5,False,983.88
12159428,VILLAGE,916.5,True,
12159426,RUINED PORTAL,1134.0,False,806.277
12159421,DESERT TEMPLE,2000.0,False,798.18
12159419,RUINED PORTAL,816.0,False,1351.423
12159417,SHIPWRECK,,True,
12159415,VILLAGE,1105.0,True,
12159412,BURIED TREASURE,1302.0,True,
12159411,DESERT TEMPLE,1030.5,True,
12159410,SHIPWRECK,1041.5,True,
12159408,RUINED PORTAL,655.5,False,1653.661
12159407,RUINED PORTAL,1295.0,True,
12159405,SHIPWRECK,618.5,True,
12159402,DESERT TEMPLE,561.0,True,
12159401,VILLAGE,1694.0,False,616.889
12159400,VILLAGE,412.5,True,
12159399,DESERT TEMPLE,1491.5,True,
12159398,DESERT TEMPLE,1261.5,True,
12159397,DESERT TEMPLE,1348.0,True,
12159395,VILLAGE,1402.5,True,
12159394,DESERT TEMPLE,1516.0,False,730.075
12159393,RUINED PORTAL,2013.0,False,562.175
12159391,DESERT TEMPLE,1407.0,True,
12159390,VILLAGE,966.5,False,904.42
12159389,RUINED PORTAL,1108.0,True,
12159388,DESERT TEMPLE,1179.0,False,802.606
12159387,SHIPWRECK,884.0,True,
12159386,VILLAGE,1343.0,False,781.156
12159384,RUINED PORTAL,665.0,True,
12159382,SHIPWRECK,465.5,True,
12159381,RUINED PORTAL,673.0,True,
12159380,VILLAGE,1101.5,False,763.778
12159379,SHIPWRECK,878.0,True,
12159373,RUINED PORTAL,1284.0,False,645.363
12159370,SHIPWRECK,887.0,True,
12159366,RUINED PORTAL,1228.0,False,838.193
12159365,SHIPWRECK,673.5,True,
12159362,SHIPWRECK,717.0,True,
12159358,DESERT TEMPLE,1059.0,True,
12159355,SHIPWRECK,1291.5,False,790.257
12159354,SHIPWRECK,1164.5,True,
12159353,VILLAGE,565.5,False,1431.414
12159352,DESERT TEMPLE,1603.0,False,629.211
12159351,SHIPWRECK,1685.5,False,719.478
12159349,VILLAGE,1442.0,False,719.245
12159345,SHIPWRECK,1113.0,False,913.007
12159344,BURIED TREASURE,1673.5,True,
12159343,VILLAGE,868.5,True,
12159341,VILLAGE,1045.0,False,861.533
12159340,BURIED TREASURE,1262.0,False,1001.7
12159336,BURIED TREASURE,1852.5,False,533.929
12159335,DESERT TEMPLE,694.5,True,
12159332,VILLAGE,635.0,True,
12159331,SHIPWRECK,1049.5,False,971.659
12159330,DESERT TEMPLE,828.5,True,
12159328,VILLAGE,1165.0,True,
12159326,RUINED PORTAL,614.0,True,
12159325,VILLAGE,639.5,True,
12159322,DESERT TEMPLE,538.0,True,
12159320,SHIPWRECK,1039.0,False,1053.124
12159316,RUINED PORTAL,894.5,True,
12159315,VILLAGE,918.5,True,
12159314,BURIED TREASURE,1535.5,False,659.79
12159313,VILLAGE,606.0,False,3582.854
12159312,DESERT TEMPLE,700.0,True,
12159310,SHIPWRECK,1206.0,False,907.949
12159309,DESERT TEMPLE,1069.5,False,793.946
12159308,BURIED TREASURE,1499.0,True,
12159306,DESERT TEMPLE,546.0,True,
12159305,RUINED PORTAL,1635.0,False,518.679
12159304,VILLAGE,1370.0,False,801.157
12159303,DESERT TEMPLE,1382.5,True,
12159300,DESERT TEMPLE,878.0,False,1199.674
12159299,DESERT TEMPLE,1902.5,False,589.219
12159298,VILLAGE,403.0,True,
12159297,DESERT TEMPLE,897.5,True,
12159296,RUINED PORTAL,1173.5,True,
12159293,VILLAGE,1099.5,False,945.227
12159290,SHIPWRECK,606.0,True,
12159285,BURIED TREASURE,1638.5,False,802.24
12159284,DESERT TEMPLE,702.5,False,1253.497
12159283,DESERT TEMPLE,396.5,True,
12159282,VILLAGE,1353.5,True,
12159280,SHIPWRECK,1035.5,True,
12159277,DESERT TEMPLE,1321.5,True,
12159275,VILLAGE,774.5,False,1371.496
12159274,RUINED PORTAL,1411.0,True,
12159272,SHIPWRECK,654.5,False,2193.614
12159271,VILLAGE,1106.0,False,1224.485
12159268,RUINED PORTAL,1238.5,False,1056.142
12159267,DESERT TEMPLE,1990.0,False,672.848
12159266,VILLAGE,1046.0,True,
12159261,VILLAGE,1156.0,False,888.413
12159260,SHIPWRECK,1122.5,True,
12159258,VILLAGE,996.5,False,870.005
12159255,SHIPWRECK,859.0,False,954.933
12159253,DESERT TEMPLE,1194.0,False,724.287
12159252,VILLAGE,,True,
12159251,RUINED PORTAL,637.0,True,
12159250,RUINED PORTAL,1086.0,True,
12159248,VILLAGE,616.0,True,
12159247,VILLAGE,830.0,True,
12159246,SHIPWRECK,1106.5,True,
12159245,VILLAGE,564.0,True,
12159244,SHIPWRECK,1745.5,False,608.213
12159242,DESERT TEMPLE,543.0,True,
12159240,DESERT TEMPLE,969.5,False,1045.327
12159237,BURIED TREASURE,1425.0,False,1092.584
12159234,VILLAGE,670.0,True,
12159231,RUINED PORTAL,1372.0,False,662.767
12159230,RUINED PORTAL,801.5,False,1402.607
12159226,VILLAGE,504.0,True,
12159225,SHIPWRECK,877.0,True,
12159222,SHIPWRECK,1168.0,True,
12159218,RUINED PORTAL,1199.0,False,748.625
12159215,DESERT TEMPLE,1688.5,True,
12159208,SHIPWRECK,1260.5,True,
12159206,SHIPWRECK,987.5,True,
12159200,SHIPWRECK,714.0,True,
12159199,RUINED PORTAL,1015.5,False,1460.166
12159197,SHIPWRECK,2067.0,True,
12159195,DESERT TEMPLE,1063.5,False,979.483
12159188,DESERT TEMPLE,1307.0,True,
12159186,RUINED PORTAL,873.0,False,1634.23
12159184,SHIPWRECK,1127.5,True,
12159181,SHIPWRECK,899.0,False,1141.385
12159179,VILLAGE,855.0,False,972.814
12159178,RUINED PORTAL,711.0,False,1095.234
12159176,DESERT TEMPLE,2441.5,False,723.132
12159175,RUINED PORTAL,1650.0,True,
12159171,SHIPWRECK,801.0,True,
12159169,VILLAGE,,True,
12159168,DESERT TEMPLE,1088.0,True,
12159167,RUINED PORTAL,701.0,False,1358.929
12159166,BURIED TREASURE,1666.0,False,757.159
12159165,VILLAGE,511.5,True,
12159163,DESERT TEMPLE,944.5,True,
12159160,VILLAGE,722.0,False,922.094
12159158,SHIPWRECK,1139.5,False,1034.208
12159157,DESERT TEMPLE,,True,
12159154,RUINED PORTAL,971.5,False,1029.198
12159151,DESERT TEMPLE,1005.5,False,862.664
12159150,DESERT TEMPLE,1363.0,False,858.665
12159148,DESERT TEMPLE,536.0,True,
12159146,DESERT TEMPLE,527.0,True,
12159144,SHIPWRECK,696.0,True,
12159138,SHIPWRECK,1122.5,True,
12159135,DESERT TEMPLE,1287.5,False,1054.864
12159133,DESERT TEMPLE,734.5,True,
12159131,DESERT TEMPLE,455.0,True,
12159129,SHIPWRECK,907.5,True,
12159126,SHIPWRECK,1312.5,True,
12159125,VILLAGE,685.0,True,
12159123,DESERT TEMPLE,1076.5,True,
